"filename", "language", "JSON with Comments", "JSON", "HTML", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "XML", "toml", "comment", "blank", "total"
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\SearchBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 8, 103
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\ShopView\ShopView.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\Modal\ShopView\ShopView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 7, 73
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\NavBar\NavBar.css", "CSS", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 42
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\components\NavBar\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 6, 71
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\Airplane.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 2, 5, 69
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\Carrier.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\leaflet-marker-easing.d.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\types\types.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\test.html", "HTML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\tsconfig.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Dev\Koulu\ConsoleCarrier\Console-Carrier\frontend\vite.config.ts.timestamp-1679413222452.mjs", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 1, 11
"Total", "-", 21, 2419, 41, 252, 8, 995, 272, 2, 9, 25, 198, 4242
